Year,GS,G,A,SHOTS,SOG,GWG,HmG,RdG,G/90min,SC%,AtoG
1996,16.0,2.15,2.05,21.75,10.05,0.45,1.45,0.7,0.10500000000000001,6.035,0.9534883720930232
1997,17.45,2.8,3.3,24.75,11.1,0.65,1.65,1.15,0.132,8.715,1.1785714285714286
1998,17.25,3.3,4.05,27.35,12.35,0.75,1.65,1.65,0.21800000000000005,10.364999999999998,1.2272727272727273
1999,17.57894736842105,2.0,2.6842105263157894,21.31578947368421,7.894736842105263,0.7368421052631579,0.8947368421052632,1.105263157894737,0.10157894736842105,6.626315789473684,1.3421052631578947
2000,12.32,1.4,2.04,15.92,6.2,0.36,0.56,0.84,0.1008,5.984,1.4571428571428573
2001,12.36,1.68,2.44,16.72,7.2,0.2,0.84,0.84,0.102,4.092,1.4523809523809523
2002,13.75,2.15,3.1,17.9,7.85,0.65,1.5,0.65,0.1075,4.455,1.4418604651162792
2003,12.095238095238095,1.9047619047619047,1.6666666666666667,16.904761904761905,7.523809523809524,0.5238095238095238,1.0,0.9047619047619048,0.09904761904761905,5.214285714285714,0.8750000000000001
2004,11.545454545454545,1.1363636363636365,1.5454545454545454,16.181818181818183,6.681818181818182,0.36363636363636365,0.6363636363636364,0.5,0.07818181818181819,3.713636363636363,1.3599999999999999
2005,10.964285714285714,1.75,1.5357142857142858,13.607142857142858,5.964285714285714,0.6071428571428571,1.0714285714285714,0.6785714285714286,0.1435714285714286,7.114285714285715,0.8775510204081634
2006,11.52,1.24,1.44,13.0,5.28,0.44,0.88,0.36,0.10919999999999998,5.116,1.161290322580645
2007,11.08,0.76,0.68,8.76,2.84,0.24,0.44,0.32,0.0868,5.4159999999999995,0.8947368421052632
2008,9.5,0.9285714285714286,1.1785714285714286,10.857142857142858,4.285714285714286,0.17857142857142858,0.5,0.42857142857142855,0.06142857142857144,5.407142857142857,1.2692307692307692
2009,10.692307692307692,1.0,1.5,11.538461538461538,4.576923076923077,0.2692307692307692,0.6538461538461539,0.34615384615384615,0.09346153846153846,7.984615384615385,1.5
2010,10.884615384615385,1.7307692307692308,1.6923076923076923,15.192307692307692,6.653846153846154,0.46153846153846156,1.1538461538461537,0.5769230769230769,0.07269230769230771,3.9038461538461533,0.9777777777777777
2011,12.464285714285714,1.6428571428571428,1.5357142857142858,17.178571428571427,6.25,0.42857142857142855,1.0,0.6428571428571429,0.0882142857142857,6.728571428571429,0.9347826086956522
2012,10.5625,1.5,1.59375,14.53125,5.0625,0.46875,1.0,0.5,0.126875,8.893749999999999,1.0625
2013,8.0,1.1724137931034482,1.6551724137931034,13.310344827586206,4.172413793103448,0.3448275862068966,0.6551724137931034,0.5172413793103449,0.08827586206896551,3.886206896551723,1.411764705882353
2014,11.161290322580646,1.935483870967742,1.2258064516129032,18.161290322580644,6.354838709677419,0.45161290322580644,1.1935483870967742,0.7419354838709677,0.1458064516129032,8.216129032258063,0.6333333333333333
2015,11.827586206896552,1.3448275862068966,1.3103448275862069,15.689655172413794,5.241379310344827,0.5172413793103449,0.8275862068965517,0.5172413793103449,0.08620689655172414,6.30344827586207,0.9743589743589743
